Comment,Description,Designator,Footprint,LibRef,Quantity,Digikey Link,Digikey Part Number

"100nF","","C1, C6, C13, C14, C15","0805","GCM21BR71H104KA37L","5","","490-6064-1-ND"
"4.7uF","","C3, C11","0805","GCM21BR61A475KA37L","2","","DO NOT USE FOR NEW DESIGNS"
"1uF","","C4, C5, C10, C12","0805","AC0805KKX7R8BB105","4","","DO NOT USE FOR NEW DESIGNS"
"10nF","","C7","0805","GCM2195C1H103JA16D","1","","490-4783-1-ND"
"22pF","","C8, C9","0805","GRM21A5C2E220JW01D","2","","490-5534-1-ND"
"Orange","Orange LED Indication - Discrete 1.75V 0805 (2012 Metric)","D1","0805 LED","SML-211DTT86","1","https://www.digikey.com/product-detail/en/rohm-semiconductor/SML-211DTT86/511-1291-1-ND/637104","511-1291-1-ND"
"Green","Green LED Indication - Discrete 1.75V 0805 (2012 Metric)","D2","0805 LED","SML-210FTT86","1","https://www.digikey.com/product-detail/en/rohm-semiconductor/SML-210FTT86/511-1285-1-ND/637098","511-1285-1-ND"
"Red","Red LED Indication - Discrete 1.75V 0805 (2012 Metric)","D3, D5","0805 LED","SML-210LTT86","2","https://www.digikey.com/product-detail/en/rohm-semiconductor/SML-210LTT86/511-1286-1-ND/637099","511-1286-1-ND"
"Blue","LED BLUE CLEAR 2012 SMD","D4","0805 LED","SML-MN2BCTT86C","1","https://www.digikey.com/product-detail/en/rohm-semiconductor/SMLMN2BCTT86C/846-1207-1-ND/6057239","846-1207-1-ND"
"0ZCF0100AF2A","PTC RESET FUSE 60V 1A 292","F1","2920","0ZCF0100AF2A","1","https://www.digikey.com/product-detail/en/bel-fuse-inc/0ZCF0100AF2A/507-2070-1-ND/6210547","507-2070-1-ND"
"2.54mm","","ISCP1","TH 2.54mm Header 2x3","TH 2.54mm Header 2x3","1","",""
"TS-1187A-C-D-B","TACTILE SWITCHES SPST 5.10MM X 5.10MM 0.80MM SMD ROHS","K1, K2","XKB SW-4.5","TS-1187A-C-D-B","2","",""
"USB4085-GF-A","USB - C (Type - C) USB 2.0 Receptacle Connector 16 Position Through Hole, Right Angle","P1","USB4085-GF-A","USB4085-GF-A","1","https://www.digikey.ee/product-detail/en/gct/USB4085-GF-A/2073-USB4085-GF-ACT-ND/9859733","2073-USB4085-GF-ACT-ND"
"5.08mm","","P2, P3, P4","TH 5.08mm Header 1x2","1760510000","3","https://www.digikey.com.au/product-detail/en/weidm%C3%BCller/1760510000/281-1882-ND/459739","281-1882-ND"
"BC817-16LT1","300mW  BJT NPN Transistor","Q1","ON SOT-23 BJT","BC817-16LT1","1","https://www.digikey.com.au/product-detail/en/on-semiconductor/BC817-16LT1/BC817-16LT1OSTR-ND/606178","BC817-16LT1OSTR-ND"
"1k","","R1, R2, R3, R4, R5, R6, R7, R11","0805","RC0805FR071KL","8","","311-1.00KCRCT-ND"
"680R","","R8","0805","RC0805FR07680RL","1","","311-680CRCT-ND"
"10k","","R9, R10","0805","RC0805FR0710KL","2","","311-10.0KCRCT-ND"
"0R","","R12","0805","RC0805FR070RL","1","","311-0.0CRCT-ND"
"FT232RL","USB Bridge, USB to UART USB 2.0 UART Interface 28-SSOP","U1","FTDI 28-SSOP","FT232RL","1","https://www.digikey.com/product-detail/en/ftdi-future-technology-devices-international-ltd/FT232RL-REEL/768-1007-1-ND/1836402","768-1007-1-ND"
"RT9193-33GB","IC REG LINEAR 3.3V 300MA SOT23-5","U2","RICHTEK SOT-23-5","RT9193-33GB","1","https://www.digikey.com/products/en?keywords=1028-1014-1-ND","1028-1014-1-ND"
"ATMEGA 328P-AU","AVR AVR® ATmega Microcontroller IC 8-Bit 20MHz 32KB (16K x 16) FLASH 32-TQFP (7x7)","U3","ATMEL TQFP-32","ATMEGA 328P-AU","1","https://www.digikey.com/product-detail/en/microchip-technology/ATMEGA328P-AU/ATMEGA328P-AU-ND/1832260","ATMEGA328P-AU-ND"
"SSD1306 128x32","AU 0.91" IIC I2C OLED LCD Display Module 128x32 for Arduino PIC SSD1306 3.3V~5V","U4","IIC 128x32 OLED","SSD1306 128x32","1","",""
"MAX6675","IC THERMOCOUP TO DGTL 8-SOIC","U5","MI 8-SOIC","MAX6675","1","https://www.digikey.com/product-detail/en/maxim-integrated/MAX6675ISA/MAX6675ISA-ND/1513517","MAX6675ISA+-ND"
"="Value"","","X1","Abracon HC-49/US","ABLS-16.000MHZ-B4-T","1","https://www.digikey.com/product-detail/en/abracon-llc/ABLS-16.000MHZ-B4-T/535-10226-1-ND/2184261","535-10226-1-ND"
