Time	Setpoint	Input	Output
1	150	29.5	2000
2	150	29.75	2000
3	150	30.25	2000
4	150	30.25	2000
5	150	30.75	2000
6	150	31.25	2000
7	150	31.5	2000
8	150	32.5	2000
9	150	33	2000
10	150	33.25	2000
11	150	34.25	2000
12	150	34.5	2000
13	150	35	2000
14	150	34.5	2000
15	150	34.75	2000
16	150	35.25	2000
17	150	35.25	2000
18	150	35.75	2000
19	150	36.25	2000
20	150	35.75	2000
21	150	36	2000
22	150	36.75	2000
23	150	37	2000
24	150	37.25	2000
25	150	37.25	2000
26	150	38	2000
27	150	38.5	2000
28	150	39	2000
29	150	39.25	2000
30	150	39.75	2000
31	150	39.75	2000
32	150	41.25	2000
33	150	41.5	2000
34	150	42.25	2000
35	150	43.5	2000
36	150	44	2000
37	150	44.25	2000
38	150	44.5	2000
39	150	46	2000
40	150	46.25	2000
41	150	46.75	2000
42	150	48	2000
43	150	48.5	2000
44	150	50	2000
45	150	50.75	2000
46	150	51.5	2000
47	150	53.5	2000
48	150	54	2000
49	150	54	2000
50	150	54.75	2000
51	150	55.5	2000
52	150	56	2000
53	150	56.75	2000
54	150	58	2000
55	150	58.25	2000
56	150	60.25	2000
57	150	60.5	2000
58	150	61	2000
59	150	63	2000
60	150	63.25	2000
61	150	65	2000
62	150	66.25	2000
63	150	67.5	2000
64	150	69.25	2000
65	150	70	2000
66	150	70.5	2000
67	150	72.25	2000
68	150	73.5	2000
69	150	74.25	2000
70	150	75.5	2000
71	150	77	2000
72	150	77.75	2000
73	150	79	2000
74	150	79.75	2000
75	150	80.75	2000
76	150	82.5	2000
77	150	84.25	2000
78	150	85.25	2000
79	150	85.25	2000
80	150	86	2000
81	150	86.75	2000
82	150	86.75	2000
83	150	90	2000
84	150	90.75	2000
85	150	92.5	2000
86	150	93.25	2000
87	150	93.25	2000
88	150	96.75	2000
89	150	97.75	2000
90	150	97.75	2000
91	150	99.5	2000
92	150	100.5	2000
93	150	102.25	2000
94	150	103	2000
95	150	103.75	2000
96	150	105.25	2000
97	150	105.25	2000
98	150	107.75	2000
99	150	109.75	2000
100	150	111.75	2000
101	150	112.25	2000
102	150	113	2000
103	150	113.75	2000
104	150	114.25	2000
105	150	115.25	2000
106	150	116	2000
107	150	116.75	2000
108	150	118	2000
109	150	118.75	2000
110	150	120	2000
111	150	121.25	2000
112	150	122.25	2000
113	150	122.5	2000
114	150	123.5	2000
115	150	124.5	2000
116	150	125	2000
117	150	125.75	2000
118	150	127.25	2000
119	150	128.25	2000
120	150	128.75	2000
121	150	130.25	2000
122	150	131.5	2000
123	150	132.5	2000
124	150	133.25	1972.23
125	150	136.25	1902.64
126	150	137.25	1557.99
127	150	137.25	1498.31
128	150	139.75	1398.6
129	150	142.5	1238.86
130	150	144.5	939.04
131	150	144	754.18
132	150	145	854.33
133	150	146.25	724.46
134	150	146.5	594.55
135	150	147	589.64
136	150	147.75	534.71
137	150	149	454.77
138	150	149.75	319.79
139	150	149.75	254.8
140	150	151.5	269.81
141	155	151.75	857.48
142	155	151.25	1157.64
143	155	150.5	1495.33
144	155	151.5	1783.06
145	155	150.5	1045.73
146	155	151.25	1845.96
147	155	151.25	1183.64
148	155	152.75	1371.33
149	155	153	546.44
150	155	153.5	784.04
151	160	153.75	2000
152	160	153	2000
153	160	154.5	2000
154	160	154.5	1522.81
155	160	155.25	1485.54
156	160	156	1673.28
157	160	155.75	1260.98
158	160	157	1586.19
159	160	156.25	836.34
160	160	156.75	1561.53
161	165	157	2000
162	165	157.75	2000
163	165	158	2000
164	165	158.5	2000
165	165	158.75	2000
166	165	159.75	2000
167	165	160.25	1576.46
168	165	161	1551.69
169	165	160.5	1264.39
170	165	162.75	1727.12
171	170	162.5	1864.98
172	170	164	2000
173	170	165.75	1678.16
174	170	166.25	1090.87
175	170	165.75	1253.56
176	170	166.25	1653.77
177	170	166.25	1253.96
178	170	167	1379.14
179	170	166.75	966.79
180	170	167.25	1291.96
181	175	167	2000
182	175	167.25	2000
183	175	167.75	2000
184	175	168.5	2000
185	175	168	2000
186	175	168	2000
187	175	168	2000
188	175	169.25	1944.83
189	175	169.25	1857.62
190	175	168.75	1982.91
191	180	170.5	2000
192	180	170.75	2000
193	180	171.25	2000
194	180	172.25	2000
195	180	174	2000
196	180	174.75	1623.03
197	180	174.75	1648.29
198	180	175.75	1836.06
199	180	176.75	1286.27
200	180	178.25	986.43
201	224	178.25	2000
202	224	177.5	2000
203	224	178.25	2000
204	224	179.25	2000
205	224	180.5	2000
206	224	180.75	2000
207	224	180.75	2000
208	224	181.75	2000
