Time	Setpoint	Input	Output
1	150	21	2000
2	150	20.5	2000
3	150	20.25	2000
4	150	19.75	2000
5	150	19.5	2000
6	150	19.5	2000
7	150	19.25	2000
8	150	19.25	2000
9	150	19.75	2000
10	150	19.5	2000
11	150	18.75	2000
12	150	19.25	2000
13	150	19.25	2000
14	150	19.5	2000
15	150	19.5	2000
16	150	19.5	2000
17	150	18.75	2000
18	150	19.5	2000
19	150	19.75	2000
20	150	19.25	2000
21	150	19.5	2000
22	150	19.25	2000
23	150	19.25	2000
24	150	19.75	2000
25	150	19.75	2000
26	150	19.75	2000
27	150	19.75	2000
28	150	20	2000
29	150	19.75	2000
30	150	20.25	2000
31	150	19.75	2000
32	150	20.25	2000
33	150	19.75	2000
34	150	19.75	2000
35	150	20	2000
36	150	20.5	2000
37	150	20.5	2000
38	150	20.75	2000
39	150	20.5	2000
40	150	20.75	2000
41	150	21	2000
42	150	21.25	2000
43	150	21.5	2000
44	150	21.5	2000
45	150	20.5	2000
46	150	21.75	2000
47	150	21.75	2000
48	150	21.5	2000
49	150	21.5	2000
50	150	22.25	2000
51	150	22.25	2000
52	150	22.25	2000
53	150	22.25	2000
54	150	22.5	2000
55	150	22.5	2000
56	150	22.25	2000
57	150	23.5	2000
58	150	23.75	2000
59	150	24	2000
60	150	23.25	2000
61	150	24.25	2000
62	150	24.25	2000
63	150	24	2000
64	150	25	2000
65	150	24.75	2000
66	150	25.25	2000
67	150	25.25	2000
68	150	25	2000
69	150	25.75	2000
70	150	26	2000
71	150	26.5	2000
72	150	26.5	2000
73	150	26.75	2000
74	150	27.5	2000
75	150	27.25	2000
76	150	27.75	2000
77	150	28.25	2000
78	150	28.5	2000
79	150	29	2000
80	150	29.25	2000
81	150	29.75	2000
82	150	30	2000
83	150	30	2000
84	150	30.75	2000
85	150	30.5	2000
86	150	31.25	2000
87	150	31.75	2000
88	150	32	2000
89	150	32.25	2000
90	150	32.5	2000
91	150	32.75	2000
92	150	33.25	2000
93	150	33.5	2000
94	150	33.75	2000
95	150	34.5	2000
96	150	34.5	2000
97	150	35	2000
98	150	35.5	2000
99	150	36	2000
100	150	36	2000
101	150	36.75	2000
102	150	37	2000
103	150	37	2000
104	150	38	2000
105	150	38	2000
106	150	38.75	2000
107	150	38.5	2000
108	150	39.75	2000
109	150	39.75	2000
110	150	40.5	2000
111	150	40.25	2000
112	150	41.25	2000
113	150	41.75	2000
114	150	41.75	2000
115	150	42.25	2000
116	150	42.75	2000
117	150	43.75	2000
118	150	44.25	2000
119	150	44.5	2000
120	150	44.75	2000
121	150	45.5	2000
122	150	45.75	2000
123	150	46.25	2000
124	150	47	2000
125	150	47.25	2000
126	150	48	2000
127	150	48.25	2000
128	150	48.75	2000
129	150	49	2000
130	150	49.5	2000
131	150	50.25	2000
132	150	50.75	2000
133	150	51.5	2000
134	150	51.75	2000
135	150	52.5	2000
136	150	53	2000
137	150	53.5	2000
138	150	54.25	2000
139	150	54.25	2000
140	150	54.75	2000
141	150	55.5	2000
142	150	56	2000
143	150	56.5	2000
144	150	56.5	2000
