Time, Setpoint, Input, Output
1,150,42.75,2000
2,150,42.25,2000
3,150,42.25,2000
4,150,42.75,2000
5,150,43.5,2000
6,150,44,2000
7,150,47.25,2000
8,150,49.25,2000
9,150,52.25,2000
10,150,54.5,2000
11,150,56.5,2000
12,150,60.5,2000
13,150,63,2000
14,150,65,2000
15,150,67.25,2000
16,150,69.75,2000
17,150,71.75,2000
18,150,74.5,2000
19,150,76.5,2000
20,150,78.75,2000
21,150,80.25,2000
22,150,81.5,2000
23,150,83.75,2000
24,150,84.5,2000
25,150,86,2000
26,150,88.75,2000
27,150,89.5,2000
28,150,91,2000
29,150,92,2000
30,150,94,2000
31,150,95,2000
32,150,96.5,2000
33,150,97.25,2000
34,150,99,2000
35,150,100.25,2000
36,150,101.5,2000
37,150,102.25,2000
38,150,103.75,2000
39,150,105,2000
40,150,106.5,2000
41,150,106.75,2000
42,150,106.75,2000
43,150,108,2000
44,150,108.75,2000
45,150,110,2000
46,150,111.5,2000
47,150,112.5,2000
48,150,113.75,2000
49,150,114.75,2000
50,150,115.25,2000
51,150,116.25,2000
52,150,118,2000
53,150,119.5,2000
54,150,121,2000
55,150,122,2000
56,150,123.5,2000
57,150,124.75,2000
58,150,125.5,2000
59,150,126.5,2000
60,150,127.25,2000
61,150,127.75,2000
62,150,128.5,2000
63,150,131,2000
64,150,131.75,1930.18
65,150,133,1740.6
66,150,134.75,1570.98
67,150,135.5,1570.98
68,150,137.25,1516.34
69,150,139,1321.66
70,150,139.5,1146.94
71,150,139.25,1152.21
72,150,141,947.43
73,150,141.5,947.43
74,150,142.5,922.64
75,150,143.5,812.83
76,150,144.25,712.99
77,150,145,553.12
78,150,146,463.22
79,150,146.25,463.22
80,150,145.75,453.31
81,150,146.25,518.42
82,150,146,448.51
83,150,146.75,398.59
84,150,147.75,288.65
85,150,147.75,288.65
86,150,147.75,308.71
87,150,148.75,308.76
88,150,149,188.79
89,150,149.75,178.82
90,150,149.75,93.83
91,150,149.75,93.83
92,150,150,108.83
93,155,150,1521.58
94,155,150.5,1584.33
95,155,151.25,1309.56
96,155,151.25,1022.24
97,155,151.75,1022.24
98,155,151,934.91
99,155,150.75,1472.61
100,155,150.5,1422.82
101,155,150.75,1498.04
102,155,151.75,748.21
103,160,152,2000
104,160,152,2000
105,160,152.25,2000
106,160,152.25,2000
107,160,152.5,2000
108,160,153,2000
109,160,153.25,1925.49
110,160,153.75,1925.49
111,160,154.75,1838.31
112,160,155.75,1413.57
113,165,156.25,2000
114,165,156.75,2000
115,165,157.5,2000
116,165,158.25,1927.68
117,165,158.75,1927.68
118,165,159.25,1840.49
119,165,160,1690.78
120,165,160.5,1403.53
121,165,161.75,628.69
122,165,162.75,516.31
123,170,163,516.31
124,170,163.5,2000
125,170,163.5,1916.98
126,170,164.25,2000
127,170,165,1630.09
128,170,165.25,1267.83
129,170,165.5,1267.83
130,170,166.25,1380.56
131,170,167.25,1030.74
132,170,167.75,668.38
133,175,167,2000
134,175,167.75,2000
135,175,168.25,1994.44
136,175,168.5,1994.44
137,175,169,1982.27
138,175,170.25,1770.07
139,175,170.75,1207.81
140,175,170.75,1245.52
141,175,172,683.17
142,175,172,683.17
143,180,172,995.82
144,180,172.5,2000
145,180,173,2000
146,180,174.25,2000
